RARC,Supplement,CARC,RARC Reason,Sub Category,Common CARC Pairing,CARC Reason
N846,SUPPLEMENTAL,CO-16,NDC Does Not Matched with HCPCS/CPT Billed,Drug Billing / Data Mismatch · Professional & Facility Claims · CMS-1500 Box 24 & UB-04 (FL43-FL44),Common CARC Pairing,Claim/service lacks information
N816,SUPPLEMENTAL,CO-16,Invalid NDC Unit of Measure,Drug Billing / Data Mismatch · Professional & Facility Claims · CMS-1500 Box 24 & UB-04 (FL43-FL44),Common CARC Pairing,Claim/service lacks information
